Idade,Renda_Anual_K,Score_Credito,Pontuacao_Engajamento,Compro_Produto
56,141.8,534,7.1,0
46,37.9,308,8.1,0
32,64.3,373,5.5,0
60,34.8,791,1.8,0
25,140.2,552,5.8,0
38,134.1,529,6.3,1
56,53.5,818,7.7,1
36,105.8,473,4.9,0
40,126.2,467,2.1,1
28,92.2,469,3.6,0
28,88.9,692,4.3,0
41,51.4,493,6.8,0
53,32.1,816,6.1,1
57,136.6,328,4.2,0
41,137.1,464,9.9,1
20,102.3,721,6.5,1
39,64.1,638,3.1,0
19,65.4,795,1.9,0
41,114.4,664,2.4,0
61,136.6,641,3.2,1
47,135.3,799,2.4,0
55,121.4,810,2.7,0
19,103.5,626,3.6,0
38,30.9,516,2.6,0
50,41.0,600,9.1,1
29,136.8,431,1.7,1
39,98.8,369,5.7,1
61,21.2,551,4.7,0
42,33.2,714,9.8,1
44,106.3,744,2.0,0
59,20.7,481,4.6,0
45,40.9,466,9.7,1
33,91.3,390,8.8,0
32,109.9,830,8.4,1
64,104.8,338,3.3,1
61,49.2,425,2.5,1
20,112.6,750,7.0,0
54,50.8,472,9.4,1
24,62.3,519,6.0,0
38,117.0,357,6.1,0
26,104.5,775,3.5,1
56,130.4,755,7.9,1
35,105.5,660,2.7,0
21,93.9,300,3.9,0
42,32.2,686,4.8,0
31,67.8,647,5.6,0
26,54.5,489,3.2,0
43,51.7,804,2.0,0
19,146.5,490,6.5,0
37,71.1,807,3.6,0
45,136.0,668,6.2,0
64,102.0,708,2.4,0
24,123.3,416,5.3,0
61,85.3,433,5.8,0
25,95.0,357,1.5,0
64,84.0,472,4.0,0
52,45.4,448,2.2,1
31,113.9,379,1.6,0
34,56.5,512,9.9,0
53,23.2,502,3.9,0
57,103.9,528,8.3,1
21,43.0,526,3.3,0
19,142.3,831,7.1,0
23,144.0,740,7.8,1
59,138.9,701,6.4,1
21,68.1,346,5.2,0
46,22.0,532,4.7,0
35,140.7,604,4.1,1
43,75.7,825,9.4,1
61,145.7,442,8.5,1
51,145.3,714,9.7,1
27,130.9,812,2.1,0
53,58.3,672,7.6,1
31,70.1,558,9.4,1
48,130.6,770,2.6,0
32,61.2,311,1.6,0
25,42.0,629,7.7,0
31,92.4,657,6.2,0
40,141.7,707,8.6,1
57,110.5,672,2.3,0
38,94.1,307,8.2,0
33,32.6,421,2.8,0
62,100.0,647,2.5,0
35,148.7,389,2.5,0
64,38.2,615,8.3,0
41,87.4,477,7.0,0
43,134.1,839,5.7,1
42,116.3,340,4.2,1
62,110.6,801,8.9,1
58,111.3,444,4.5,0
46,66.7,500,8.3,1
32,58.2,760,5.0,0
62,125.2,846,4.4,1
18,125.3,552,5.2,1
42,132.7,689,3.7,0
24,138.7,555,7.7,1
26,86.5,749,5.5,0
41,85.2,309,3.1,0
18,123.8,541,9.1,1
61,104.5,550,4.5,0
25,111.3,304,5.9,0
41,123.5,418,9.2,0
28,135.7,673,6.6,1
34,63.9,364,2.1,0
25,68.8,445,9.5,0
52,32.2,523,6.6,1
52,95.2,538,4.0,1
50,24.7,476,2.3,0
22,80.5,581,8.1,1
59,90.5,362,6.6,0
56,57.3,516,5.8,1
58,96.8,760,9.0,1
45,24.0,404,8.1,0
24,24.9,398,2.4,0
26,126.9,810,3.8,1
25,66.8,684,3.2,1
29,36.5,704,7.7,0
51,87.9,817,1.3,1
50,120.1,775,6.1,0
40,48.1,736,7.9,1
41,101.0,322,8.9,0
54,31.1,757,4.1,1
52,26.7,382,8.4,0
61,89.1,444,2.0,1
57,90.3,384,8.6,1
39,102.9,377,2.1,1
44,114.4,756,4.6,0
52,146.9,300,8.2,0
18,87.1,350,2.3,0
52,62.0,745,3.1,1
54,123.4,748,7.5,1
64,55.2,787,7.5,1
31,77.1,333,6.8,1
20,30.2,647,7.2,0
18,23.3,394,5.9,0
22,145.1,371,3.3,0
43,128.7,453,4.1,0
31,110.5,549,2.6,0
56,73.2,737,9.2,1
44,42.5,417,6.3,0
26,40.3,605,4.6,0
32,52.5,567,5.2,0
32,91.4,353,9.5,0
43,112.9,535,2.4,0
59,105.8,688,6.3,1
30,56.4,700,5.6,0
49,144.1,602,6.5,1
56,115.9,506,1.2,1
49,92.1,528,8.8,1
21,99.5,374,9.4,0
47,74.5,734,6.1,1
54,52.2,402,7.3,1
40,66.3,721,9.3,1
56,118.5,605,7.4,0
62,21.9,397,2.4,0
32,35.1,634,6.2,1
60,26.0,734,6.5,0
46,25.3,746,4.8,1
53,131.2,607,7.6,1
30,111.5,548,9.4,0
49,81.6,465,9.3,1
24,32.7,780,5.1,0
39,83.9,634,2.0,0
45,81.6,841,9.9,0
19,42.5,405,8.6,1
59,76.4,380,2.1,0
62,71.8,432,9.3,1
23,100.1,437,8.8,0
45,102.6,483,5.7,1
45,25.9,700,6.3,0
61,68.7,629,4.6,1
61,101.4,807,1.5,1
37,85.4,368,4.0,0
47,131.3,845,8.2,1
28,105.6,352,1.0,0
45,41.2,749,4.0,0
42,29.2,504,4.6,0
56,103.5,425,5.8,0
50,23.4,342,9.3,0
18,96.2,410,4.1,0
44,142.2,482,4.1,0
30,94.8,394,7.6,0
58,70.5,673,5.1,0
20,103.6,819,3.0,1
56,79.6,659,5.1,1
23,90.9,580,2.3,0
25,142.4,494,2.6,1
44,70.2,494,5.5,1
26,145.0,392,4.8,0
54,137.7,360,9.2,1
50,45.5,350,4.3,0
59,29.0,702,6.2,1
61,33.1,304,6.7,0
41,22.4,765,1.1,1
32,32.3,833,7.0,0
49,108.8,704,2.6,0
49,29.3,812,9.6,1
41,61.5,532,2.3,0
58,129.8,823,4.7,1
29,23.0,645,1.8,0
56,125.9,345,10.0,1
19,56.6,845,5.5,1
20,35.4,377,6.4,0
54,110.6,372,1.6,0
34,101.8,548,7.7,0
19,134.1,346,2.9,1
19,115.6,420,9.1,1
45,124.5,513,2.8,1
40,56.7,538,2.7,0
54,43.1,355,1.3,0
49,117.6,649,5.2,0
50,124.9,406,6.1,0
18,148.8,347,1.6,0
36,73.6,636,8.0,0
19,68.4,325,5.1,0
61,120.9,556,5.7,1
43,64.3,307,5.0,0
49,141.0,552,4.6,1
23,131.6,602,6.0,1
49,75.8,355,2.4,0
21,117.6,825,2.6,1
28,118.1,773,8.8,1
34,33.4,327,9.5,0
55,137.3,377,4.4,0
41,85.7,515,3.4,1
22,127.4,685,6.8,0
51,61.6,664,4.7,1
23,136.4,825,1.2,0
39,70.6,611,2.4,0
28,21.4,306,7.4,0
33,137.7,302,6.9,0
50,31.9,662,1.2,0
26,61.5,807,3.0,0
23,143.5,573,3.1,1
33,143.6,805,7.0,1
46,94.5,314,1.2,0
20,102.1,491,1.9,0
37,78.3,784,8.2,0
53,58.1,327,2.6,0
36,62.7,338,6.9,1
43,107.4,572,3.1,0
20,117.8,530,1.9,0
36,122.9,385,3.2,0
37,122.7,773,7.5,0
49,31.9,425,8.7,0
24,84.3,836,8.5,0
58,27.5,444,4.6,0
50,91.4,824,7.0,1
57,77.4,511,2.8,1
56,135.4,324,3.6,0
